Gene,Half-life (h)
ycfA,0.143333333
B1157,0.158333333
pin,0.148333333
mcrA,0
ycgX,0.096666667
ycgE,0.041666667
B1163,0.038333333
ycgZ,0.086666667
ymgA,0.1
ymgB,0.111666667
ymgC,0.115
B1168,0.175
B1169,0.136666667
B1170,0.16
B1171,0.105
B1172,0.105
B1173,0.086666667
minE,0.056666667
minD,0.028333333
minC,0.036666667
ycgJ,0.095
ycgK,0.143333333
ycgL,0
B1180,0.071666667
ycgN,0.086666667
umuD,0.105
umuC,0.141666667
dsbB,0.073333333
nhaB,0.093333333
fadR,0.063333333
ycgB,0.041666667
dadA,0.046666667
dadX,0.041666667
B1191,0.1
B1192,0.091666667
mltE,0.05
ycgR,0.098333333
ymgE,0.103333333
ycgY,0.181666667
treA,0.06
ycgC,0.048333333
B1199,0.068333333
B1200,0.068333333
B1201,0.061666667
B1202,0.096666667
ychF,0.045
pth,0.066666667
ychH,0.103333333
ychM,0.09
ychB,0.071666667
hemA,0.158333333
prfA,0.058333333
hemK,0.083333333
B1213,0.09
ychA,0.075
kdsA,0.066666667
chaA,0.09
chaB,0.103333333
chaC,0.093333333
ychN,0.096666667
ychP,0.076666667
narL,0.071666667
narX,0.145
narK,0.101666667
narG,0.16
narH,0.1
narJ,0.091666667
narI,0.095
B1228,0.118333333
tpr,0.075
purU,0.048333333
ychJ,0.071666667
ychK,0.061666667
hnr,0.04
galU,0.081666667
hns,0.056666667
tdk,0.086666667
ychG,0.128333333
B1240,0.151666667
adhE,0.103333333
oppA,0.155
oppB,0.048333333
oppC,0.055
oppD,0.055
oppF,0.073333333
B1248,0.06
cls,0.068333333
kch,0.078333333
yciI,0.1
tonB,0.061666667
yciA,0.105
yciB,0.09
yciC,0.068333333
yciD,0.155
yciE,0
yciF,0.28
yciG,0
trpA,0
trpB,0.045
trpC,0.036666667
trpD,0.031666667
trpE,0.035
trpL,0.076666667
yciV,0.063333333
yciO,0.056666667
yciQ,0
yciL,0.073333333
BtuR,0.055
yciK,0.065
sohB,0.073333333
yciN,0.088333333
topA,0.05
cysB,0.053333333
acnA,0.045
ribA,0.046666667
pgpB,0.151666667
yciS,0.105
yciM,0.068333333
pyrF,0.095
yciH,0.138333333
osmB,0.163333333
B1284,0.07
yciR,0.073333333
rnb,0.036666667
yciW,0.07
fabI,0.123333333
ycjD,0.111666667
sapF,0.075
sapD,0.101666667
sapC,0.115
sapB,0.09
sapA,0.06
ymjA,0.093333333
ycjJ,0.09
B1297,0.075
ycjL,0.135
ycjC,0.066666667
aldH,0.12
ordL,0.3
goaG,0.15
pspF,0.146666667
pspA,0.148333333
pspB,0.26
pspC,0.071666667
pspD,0.093333333
pspE,0.078333333
ycjM,0.078333333
B1310,0.191666667
ycjO,0.116666667
ycjP,0
ycjQ,0.07
B1314,0.116666667
ycjS,0.088333333
ycjT,0
ycjU,0.103333333
ycjV,0.076666667
ompG,0.108333333
ycjW,0.09
ycjX,0.073333333
ycjF,0.103333333
tyrR,0.055
tpx,0.166666667
ycjG,0.035
ycjI,0.061666667
B1327,0.148333333
ycjZ,0
B1329,0.098333333
B1330,0.086666667
trs5_4,0.136666667
ynaJ,0.14
ydaA,0
fnr,0.113333333
ogt,0.13
ydaH,0.08
B1337,0.126666667
ydaJ,0.111666667
ydaK,0.098333333
ydaL,0.118333333
B1341,0.101666667
B1342,0.081666667
ydaO,0
B1345,0.083333333
ydaQ,0.096666667
ydaC,0.081666667
lar,0.066666667
recT,0.095
recE,0.121666667
racC,0.091666667
ydaD,0.136666667
sieB,0.233333333
B1354,0.15
B1355,0.108333333
ydaR,0.1
ydaS,0
ydaT,0.148333333
ydaU,0.151666667
B1360,0.185
ydaW,0.106666667
B1362,0
trkG,0.116666667
B1364,0.1
B1365,0.136666667
ydaY,0.116666667
B1367,0.085
