Gene,Half-life (h)
ybiT,5.95612746
ugpB,2.051271263
yejK,2.241809519
wrbA,6.478297535
ftsA,6.897543081
nlpE,3.85381979
yceB,3.27182886
yciH,1.765525853
flgM,0.711185407
ybcJ,3.782287018
mprA,6.247145411
lpoA,3.752559833
yihD,8.076517064
alsB,0.855799577
dcrB,2.928682311
rpmE,3.400935452
rodZ,6.364878338
yeaH,0.819914833
yjbR,7.395566491
folX,14.03160335
lrp,4.720013116
yqjC,3.809007461
yicC,5.175622625
proQ,3.381472343
yraP,12.38680044
seqA,65.64876682
elaB,2.204903745
yfcN,0.864752901
osmC,4.996931201
ivy,30.71983591
ybhB,9.339155721
yceD,3.950547121
yqjG,6.895248481
tolB,7.184030077
minC,99.82503732
tatA,5.271833357
yqiC,14.19710743
dps,0.107776086
fetA,1.381698177
dkgA,2.726452898
yciF,4.651362902
zapE,7.821662067
ppiD,19.04526701
rlpA,2.258280497
lptD,6.17939445
ycfP,2.271558499
rseB,5.164887461
mqsA,0.153839661
yegP,2.699250549
deaD,0.547553158
psiF,2.501217812
ybfF,7.446632554
yqjD,2.263459665
matP,4.066335575
yeaG,1.978061072
tamB,4.713118457
ycgB,0.244362887
yjdJ,0.875573608
minD,12.33764108
yihI,4.480292673
ygaU,4.43578988
ydgJ,2.157916091
ydgH,8.970179584
yebT,2.296413585
yjgR,13.49630369
ygaM,1.714585022
ompX,3.194627223
yggN,2.567860098
yggE,11.16029513
yccJ,2.061373418
cnu,5.978614046
yciE,4.787952394
cheW,11.49369851
rnb,6.352404684
raiA,0.70967485
yecF,1.467009079
ybgS,1.956239289
bamC,8.421174883
ybgF,50.67939782
prlF,10.84966514
yifE,8.93470037
ybaY,1.102639676
ftsN,211.1945894
hemY,4.579112034
osmY,1.897943733
proP,1.132055745
sra,0.527085312
yahO,3.191191822
osmE,1.396231064
spy,5.927040656
ydgA,2.149000199
lptE,9.502895726
yjbD,0.945677693
slyB,3.967886614
amiC,2.327047675
stpA,53.89580967
ydcL,13.17251243
cspA,0.217345007
ygiC,10.84944312
hemX,3.589193003
yhjG,1.96867903
chaB,1.989897183
ygiW,9.350059212
yjbJ,8.169625466
amiA,1.165635892
wzzB,4.106121641
pspE,1.173594137
rna,21.78667238
yffS,8.607552625
crl,1.301422989
tabA,12.04864631
