Gene,Half-life (h)
SPCS1;SPC12;HSPC033,19.4
CDK7;MO15,19.5
FAM96B;CGI-128;HSPC118,19.5
TPBG;5T4,19.5
CC2D1A,19.5
NOTCH2;DKFZp434N181,19.5
RICTOR;KIAA1999,19.5
MFF;C2orf33;AD030;AD033;GL004,19.5
PPP4C;PPP4;PPX,19.5
DDX60,19.5
STX5;STX5A,19.5
HEATR2,19.5
QKI;HKQ,19.6
CCNT2,19.6
BAT3;G3;XXbac-BPG296P20.4-014;DAQB-195H10.3-005;XXbac-BPG296P20.4-010,19.6
CNN3,19.6
NDUFA5;DKFZp781K1356,19.6
POMT1;RP11-334J6.2-012,19.6
SON;C21orf50;DBP5;KIAA1019;NREBP,19.6
PAAF1;WDR71,19.6
SSU72;HSPC182;PNAS-120;RP5-832C2.2-004,19.6
SLC7A11,19.6
SSR4;TRAPD,19.6
ATG2B;C14orf103,19.6
HEATR6;ABC1,19.7
NCOR2;CTG26,19.7
PCTK1,19.7
GNB4,19.7
CBARA1;CALC,19.7
CSRP2;LMO5;SMLIM,19.8
GTF3C1,19.8
PELO;CGI-17,19.8
ATP1B1;ATP1B,19.8
ARFIP2;POR1,19.8
FANCI;KIAA1794,19.8
ROBO1;DUTT1,19.9
ARL6IP1;ARL6IP;KIAA0069,19.9
IKBKG;FIP3;NEMO,19.9
HDLBP;HBP;VGL,19.9
RCL1;RNAC;RPC2;RPCL1;RTC2;HSPC338;RP11-125K10.1-002;RP11-125K10.1-003;RP11-125K10.1-004,19.9
NUP188;KIAA0169,19.9
NRBP1;BCON3;NRBP,19.9
NDUFS4,20
UNC119B;UNC119;RG4,20
HISPPD2A;IP6K;IPS1;KIAA0377;PPIP5K1;VIP1,20
NEDD1,20
CLPTM1,20
ILK;ILK1;ILK2,20
CCDC55,20.1
TXLNA;TXLN,20.1
PRPF31;PRP31,20.1
ECE1,20.1
ANAPC2;APC2;KIAA1406,20.2
EFHA1,20.2
IREB2,20.2
CPSF2;CPSF100;KIAA1367,20.2
EGFR;ERBB1,20.2
FLJ00169;ARL6IP4,20.2
CXADR;CAR,20.2
VEZF1;DB1;ZNF161,20.3
TRUB1;PUS4,20.3
MADD;DENN;IG20;KIAA0358,20.3
FKBP8;FKBP38,20.3
PWP1,20.4
HDAC4;KIAA0288,20.4
NOLA2;NHP2;HSPC286,20.4
CLPX,20.4
GPX8;UNQ847/PRO1785,20.4
FAM44B,20.5
DKC1;NOLA4,20.5
DIMT1L;DIMT1;HUSSY-05,20.5
RCE1;FACE2;RCE1A;RCE1B,20.5
BXDC2;BRIX,20.5
UFD1L,20.5
PRPF6;C20orf14,20.5
TELO2;KIAA0683,20.5
ZC3H7A;ZC3H7;ZC3HDC7;HSPC055,20.5
MORF4L2;KIAA0026;MRGX;RP5-1055C14.2-001;RP5-1055C14.2-008;RP5-1055C14.2-009;RP5-1055C14.2-006,20.6
VCPIP1;KIAA1850;VCIP135,20.6
PNPLA6;NTE,20.6
ALDH3B1;ALDH7,20.6
ABCF3,20.6
TMEM209,20.6
RNF114;ZNF228;ZNF313,20.6
MUT,20.7
CAPRIN1;GPIAP1;GPIP137;M11S1,20.7
YTHDF1;C20orf21,20.7
HEATR5A;C14orf125;KIAA1316,20.7
ATXN2;ATX2;SCA2;TNRC13,20.7
DDX11;CHL1;CHLR1;KRG2;DDX12;CHLR2,20.7
FAM134C,20.7
ALG13;GLT28D1;MDS031,20.7
RHBDD2;RHBDL7;WUGSC:H_RG122E10.2a,20.8
SLC30A1;hCG_24259;ZNT1,20.8
FRG1,20.8
SCYL2;CVAK104;KIAA1360,20.8
RABGGTB;GGTB;RP4-682C21.3-012,20.8
TACC1;KIAA1103,20.8
