Protein,mRNA
78.47,15.33
200.52,5.51
39.47,4.89
61.5,7.87
195.57,12.15
65.57,14.2
30.18,22.98
124.18,7.28
32.68,11.82
29.02,14.15
16.96,NA
125.35,10.7
144.04,8.29
7.87,8.59
13.54,13.38
122.87,5.75
118.78,16.21
414.48,11.31
24.17,18.45
24.56,8.41
95.11,8.17
48.35,6.22
57.46,10.39
143.98,7.69
23.93,4.01
86.83,6.66
9.33,7.48
26.88,12.98
272.78,12.28
5.39,4.26
31.07,9.44
78.09,8.45
52.47,6.09
52.81,10.86
15.14,7.34
15.44,8.95
101.35,15.23
144.87,11.63
29.58,8.44
20.03,9.37
45.38,5.39
55.16,13.47
34.11,11.18
27.95,9.16
327.4,14.45
17.94,17.29
328.43,17.66
349.88,17.11
54.6,12.34
14.62,11.83
70.32,8.28
53.93,10.88
81.13,9.14
8.49,NA
46.83,11.77
97.31,6.53
51.75,7.12
18.07,5.15
441.86,21.63
88.28,8.91
83.49,12.23
24.76,8.64
6.97,19.08
29.79,9.77
67.04,15.56
20.51,9.2
28.51,12.96
59.85,13.61
148.57,7.47
38.46,NA
91.45,14.64
56.36,13.7
66.84,11.35
64.88,10.22
58.88,13.38
125.85,9.94
168.47,8.57
45.43,10.7
24.37,8.82
29.6,11.44
75.8,8.97
176.87,NA
27.35,13
61.54,10.27
286.53,13.92
22.5,7.42
54.8,17.68
29.66,14.82
102.18,19.52
9.58,10.8
18.6,10.36
266.1,12.65
463.23,8.24
39.75,5.38
27.51,14.4
23.87,7.06
284.32,11.56
21.47,10.89
61.24,11.86
61.36,9.82
271.89,16
43.26,18.71
94.25,8.59
36.05,11.59
86.82,12.25
458.17,18.69
43.38,8.33
32.12,9.21
11.07,NA
37.48,7.45
5.91,NA
29.67,13.12
38.28,14.96
101.09,6.37
110.51,8.49
108.11,17.28
61.68,10.06
34.52,6.07
181,9.86
109.64,8.6
60.52,8.69
5.37,9.95
79.27,5.84
13.34,7.86
50.63,9.32
10.8,6.85
140.41,9.76
19.26,9.97
340.39,NA
32.04,8.54
57.1,13.15
660.72,NA
222.39,14.6
47.4,11.1
28.36,7.43
29.68,6.78
32.98,4.62
219.36,18.28
72.67,8.49
25.48,9.78
30.18,10.84
22.06,10.24
46.48,16.43
46.34,15.6
162.42,5.88
120.71,19.22
68.93,NA
31.11,5.54
91.52,17.87
32.76,13.12
22.48,11.41
132.27,NA
32.99,12.02
13.77,8.93
125.39,13.64
135.02,11.36
60.17,10.67
23.12,9.57
167.74,6.05
27.42,16.56
30.68,8.38
238.3,8.78
42.86,9.3
22.81,5.19
59.5,13.66
53.82,11.59
23.75,11.37
57.7,13.11
44.27,7.25
33.72,11.1
12.44,6.65
1.79,23.61
308.67,14.7
40.82,8.44
15.1,7
90.55,5.36
11.8,7.86
10.24,11.78
18.21,8.31
40.77,16.64
145.79,14.26
30.08,6.71
74.63,10.62
56.58,14.06
50.69,16.33
63.83,4.43
29.14,5.58
53.64,4.31
70.96,11.19
21.44,9.72
41.62,4.67
62.34,16.96
11.42,10.11
88.15,16.1
41.36,12.44
154.95,20.61
56.26,10.99
335.31,11.19
31.94,5.1
18.29,12.85
80.9,15.09
176.26,16.74
50.54,5.36
34.3,8.42
216.82,NA
25.72,7.75
47.58,13.97
56.88,16.71
0.5,NA
152.57,10.86
23.88,NA
72.61,18.94
85.05,11.13
44.57,7.5
136.65,9.84
121.21,7.17
15.04,6.88
115.82,18.4
18.75,5.79
82.58,15.2
80.8,3.41
9.68,19.64
20.61,14.11
58.32,16.34
177.16,7.9
54.98,19.84
94.66,9.66
112.93,5.07
16.28,6.19
47.44,6.58
300.46,6.9
23.55,6.63
289.68,7.59
135.87,17.48
31.45,9.59
61.92,11.56
