Gene,Half-life (h)
YGL039W,0.5
YGL040C,5
YGL043W,3.066666667
YGL044C,1.183333333
YGL045W,0.25
YGL047W,5
YGL048C,0.6
YGL049C,0.716666667
YGL050W,4.216666667
YGL053W,1.316666667
YGL054C,0.666666667
YGL055W,3.216666667
YGL056C,1.05
YGL057C,2.516666667
YGL058W,1.9
YGL059W,0.95
YGL060W,0.75
YGL061C,1.266666667
YGL062W,5
YGL064C,2.016666667
YGL065C,0.333333333
YGL066W,0.333333333
YGL067W,0.333333333
YGL068W,0.983333333
YGL070C,1.45
YGL071W,0.383333333
YGL076C,1.883333333
YGL077C,0.433333333
YGL078C,0.55
YGL079W,0.65
YGL080W,0.616666667
YGL082W,0.666666667
YGL083W,0.6
YGL086W,0.4
YGL087C,0.85
YGL090W,0.2
YGL092W,0.466666667
YGL094C,0.383333333
YGL095C,1.133333333
YGL098W,0.566666667
YGL099W,0.733333333
YGL100W,1.2
YGL101W,0.85
YGL107C,0.916666667
YGL108C,5
YGL110C,0.35
YGL111W,0.8
YGL112C,0.383333333
YGL113W,0.266666667
YGL114W,0.283333333
YGL115W,5
YGL119W,0.416666667
YGL120C,0.533333333
YGL122C,0.733333333
YGL124C,0.616666667
YGL125W,0.9
YGL127C,15.18333333
YGL128C,0.766666667
YGL129C,1.15
YGL130W,0.05
YGL131C,2.633333333
YGL133W,1.933333333
YGL134W,0.166666667
YGL135W,1.15
YGL137W,0.883333333
YGL140C,0.366666667
YGL141W,0.466666667
YGL142C,0.433333333
YGL143C,2.05
YGL144C,0.05
YGL145W,0.666666667
YGL147C,0.883333333
YGL148W,1.15
YGL150C,1.466666667
YGL151W,5
YGL153W,1.1
YGL154C,1.566666667
YGL155W,130.1
YGL156W,0.866666667
YGL157W,0.933333333
YGL159W,1.033333333
YGL160W,1.583333333
YGL161C,0.15
YGL162W,0.35
YGL163C,0.233333333
YGL164C,0.983333333
YGL166W,0.383333333
YGL167C,0.95
YGL169W,0.433333333
YGL172W,0.85
YGL173C,1.35
YGL175C,0.266666667
YGL177W,0.416666667
YGL180W,0.783333333
YGL181W,1.05
YGL184C,0.033333333
YGL185C,0.866666667
YGL190C,1.333333333
YGL194C,2.083333333
YGL195W,0.283333333
YGL200C,5
YGL201C,0.35
YGL202W,0.983333333
YGL203C,0.85
YGL206C,1.7
YGL207W,0.433333333
YGL209W,0.25
YGL211W,5
YGL212W,1.016666667
YGL213C,4.3
YGL216W,0.2
YGL219C,0.75
YGL220W,0.75
YGL221C,2.683333333
YGL223C,0.683333333
YGL225W,0.483333333
YGL226W,0.383333333
YGL227W,1.033333333
